iter	Passed	Remaining
0	1	396
1	3	363
2	5	337
3	6	324
4	7	302
5	9	297
6	10	286
7	11	283
8	13	281
9	14	279
10	16	278
11	17	273
12	19	281
13	20	276
14	22	275
15	23	274
16	25	270
17	26	268
18	28	267
19	29	266
20	31	264
21	32	265
22	34	265
23	36	264
24	37	263
25	39	261
26	40	260
27	41	257
28	43	256
29	44	254
30	46	251
31	47	249
32	48	247
33	50	245
34	51	243
35	52	241
36	54	239
37	55	238
38	57	236
39	58	235
40	60	233
41	61	230
42	62	228
43	64	227
44	65	226
45	67	224
46	68	222
47	70	222
48	71	220
49	73	219
50	74	218
51	76	216
52	77	215
53	78	213
54	80	212
55	81	210
56	83	208
57	84	207
58	86	206
59	87	204
60	89	203
61	90	201
62	91	199
63	93	198
64	94	196
65	95	194
66	97	193
67	98	192
68	100	191
69	101	189
70	103	187
71	104	185
72	105	184
73	107	182
74	108	181
75	110	179
76	111	178
77	113	177
78	114	176
79	116	174
80	117	172
81	119	171
82	120	169
83	121	168
84	123	166
85	124	164
86	125	163
87	127	162
88	128	160
89	130	159
90	131	157
91	133	156
92	134	154
93	135	153
94	137	151
95	138	150
96	140	149
97	141	147
98	143	146
99	144	144
100	146	143
101	147	141
102	149	140
103	150	139
104	152	137
105	153	136
106	155	134
107	156	133
108	158	132
109	159	130
110	161	129
111	162	127
112	164	126
113	165	125
114	167	123
115	168	122
116	170	120
117	171	119
118	172	117
119	174	116
120	175	114
121	177	113
122	178	111
123	180	110
124	181	109
125	183	108
126	185	106
127	187	105
128	188	103
129	189	102
130	190	100
131	192	99
132	193	97
133	195	96
134	196	94
135	198	93
136	199	91
137	200	90
138	202	88
139	203	87
140	204	85
141	206	84
142	208	83
143	209	81
144	211	80
145	212	78
146	214	77
147	215	75
148	217	74
149	218	72
150	219	71
151	220	69
152	222	68
153	223	66
154	224	65
155	225	63
156	226	62
157	227	60
158	228	58
159	229	57
160	230	55
161	231	54
162	233	52
163	234	51
164	235	50
165	237	48
166	238	47
167	240	45
168	241	44
169	243	42
170	244	41
171	245	40
172	247	38
173	249	37
174	251	35
175	252	34
176	254	33
177	255	31
178	257	30
179	258	28
180	260	27
181	261	25
182	263	24
183	264	23
184	266	21
185	267	20
186	269	18
187	270	17
188	271	15
189	273	14
190	274	12
191	275	11
192	277	10
193	278	8
194	280	7
195	281	5
196	283	4
197	285	2
198	287	1
199	289	0
